Accession	ID	Type	Description
RF02740	Fwd6_3p_UTR	Cis-reg;	Soft rot Enterobacteriaceae Fwd 6 3'UTR
RF02744	Rev39_5p_UTR	Cis-reg	Soft rot Enterobacteriaceae Rev 39 5'UTR
RF02745	Rev42_5p_UTR	Cis-reg	Soft rot Enterobacteriaceae Rev 42 5'UTR
RF02758	RhlA_thermometer	Cis-reg; thermoregulator	RhlA 5' UTR ROSE like thermometer
RF02759	LasI_thermometer	Cis-reg; thermoregulator	LasI 5' UTR ROSE like thermometer
RF02762	C1_109596F_thermometer	Cis-reg; thermoregulator	C1_109596F 5' UTR thermometer
RF02771	CnfY_thermometer	Cis-reg; thermoregulator	CnfY 5' UTR thermometer
RF02772	AilA_thermometer	Cis-reg; thermoregulator	AilA 5' UTR thermometer
RF02773	TrxA_thermometer	Cis-reg; thermoregulator	TrxA 5' UTR thermometer
RF02774	KatA_thermometer	Cis-reg; thermoregulator	KatA 5' UTR thermometer
RF02775	SodB_thermometer	Cis-reg; thermoregulator	SodB 5' UTR thermometer
RF02776	SodC_thermometer	Cis-reg; thermoregulator	SodC 5' UTR thermometer
RF02777	OppA_thermometer	Cis-reg; thermoregulator	OppA 5' UTR thermometer
RF02778	FdoG1_thermometer	Cis-reg; thermoregulator	FdoG-1 5' UTR thermometer
RF02779	PepN_thermometer	Cis-reg; thermoregulator	PepN 5' UTR thermometer
RF02780	PutA_thermometer	Cis-reg; thermoregulator	PutA 5' UTR thermometer
RF02781	ManX_thermometer	Cis-reg; thermoregulator	ManX 5' UTR thermometer
RF02782	CpoB_ybgF_thermometer	Cis-reg; thermoregulator;	CpoB/ybgF ICR thermometer
RF02783	IscS1_thermometer	Cis-reg; thermoregulator;	IscS-1 ICR thermometer
RF02810	Lst_thermometer	Cis-reg; thermoregulator	Lst 5' UTR thermometer
RF02811	FHbp_thermometer	Cis-reg; thermoregulator	FHbp 5' UTR thermometer
RF02813	PA5194_thermometer	Cis-reg; thermoregulator	Pseudomonas PA5194 thermometer
RF02815	Lig_thermometer	Cis-reg; thermoregulator	Lig 5' UTR thermometer
RF02816	HBV_PRE_1151-1410	Cis-reg	Hepatitis B virus post-transcriptional regulatory element 1151-1410
RF02885	SAM_VI	Cis-reg; riboswitch	SAM-VI riboswitch
RF02887	mgtC_leader	Cis-reg; leader	Salmonella mgtC leader RNA
RF02893	RpsF_leader	Cis-reg; leader	RpsF leader
RF02907	patAB	Cis-reg; leader	patAB leader
RF02911	Baculoviridae_NAE	Cis-reg	Baculoviridae Nucleocapsid Assembly essential Element
RF02912	AAC_AAD_leader	Cis-reg; riboswitch	putative aminoglycoside riboswitch / attI site
RF02913	pemK	Cis-reg	pemK RNA
RF02914	DUF805b	Cis-reg	DUF805b RNA
RF02915	DUF3800-VI	Cis-reg	DUF3800-VI RNA
RF02916	atpB	Cis-reg	atpB RNA
RF02917	Burkholderiales-2	Cis-reg	Burkholderiales-2 RNA
RF02918	MDR-NUDIX	Cis-reg	MDR-NUDIX RNA
RF02919	ilvB-OMG	Cis-reg	ilvB-OMG RNA
RF02920	Fusobacteriales-1	Cis-reg	Fusobacteriales-1 RNA
RF02922	RAGATH-32	Cis-reg	RAGATH-32 RNA
RF02923	HTH-XRE	Cis-reg	HTH-XRE RNA
RF02929	algC	Cis-reg	algC RNA
RF02930	aspS	Cis-reg	aspS RNA
RF02939	COG2908	Cis-reg	COG2908 RNA
RF02940	COG3860	Cis-reg	COG3860 RNA
RF02951	DABA-DC-AT	Cis-reg	DABA-DC-AT RNA
RF02953	DUF1874	Cis-reg	DUF1874 RNA
RF02954	DUF3577	Cis-reg	DUF3577 RNA
RF02959	DUF3085	Cis-reg	DUF3085 RNA
RF02960	DUF2800	Cis-reg	DUF2800 RNA
RF02972	engA	Cis-reg	engA RNA
RF02974	Fibro-purF	Cis-reg	Fibro-purF RNA
RF02977	folE	Cis-reg	folE RNA
RF02978	folP	Cis-reg	folP RNA
RF02980	freshwater-2	Cis-reg	freshwater-2 RNA
RF02981	FTHFS	Cis-reg	FTHFS RNA
RF02982	gltS	Cis-reg	gltS RNA
RF02991	GP20-a	Cis-reg	GP20-a RNA
RF02992	hya	Cis-reg	hya RNA
RF02993	ilvH	Cis-reg	ilvH RNA
RF02999	ivy-DE	Cis-reg	ivy-DE RNA
RF03001	leuA-Halobacteria	Cis-reg	leuA-Halobacteria RNA
RF03002	lysM-Prevotella	Cis-reg	lysM-Prevotella RNA
RF03003	GP20-b	Cis-reg	GP20-b RNA
RF03005	lysM-TM7	Cis-reg	lysM-TM7 RNA
RF03008	malK-II	Cis-reg	malK-II RNA
RF03009	malK-III	Cis-reg	malK-III RNA
RF03024	Rothia-sucC	Cis-reg	Rothia-sucC RNA
RF03031	ssnA	Cis-reg	ssnA RNA
RF03032	narK	Cis-reg	narK RNA
RF03033	NLPC-P60	Cis-reg	NLPC-P60 RNA
RF03038	nhaA-II	Cis-reg	nhaA-II RNA
RF03039	Peptidase-S11	Cis-reg	Peptidase-S11 RNA
RF03040	PGK	Cis-reg	PGK RNA
RF03054	NMT1	Cis-reg	NMT1 RNA
RF03057	nhaA-I	Cis-reg; riboswitch	nhaA-I RNA
RF03058	sul1	Cis-reg; riboswitch	sul1 RNA
RF03060	uup	Cis-reg	uup RNA
RF03062	xerDC	Cis-reg	xerDC RNA
RF03067	terC	Cis-reg	terC RNA
RF03069	malK-I	Cis-reg	malK-I RNA
RF03071	DUF1646	Cis-reg; riboswitch	DUF1646 RNA
RF03072	raiA	Cis-reg; riboswitch	raiA RNA
RF03074	Rhodo-rpoB	Cis-reg	Rhodo-rpoB RNA
RF03078	chrB-a	Cis-reg	chrB-a RNA
RF03081	DUF805	Cis-reg	DUF805 RNA
RF03086	chrB-b	Cis-reg	chrB-b RNA
RF03090	lysM-Actino	Cis-reg	lysM-Actino RNA
RF03109	Thermales-rpoB	Cis-reg	Thermales-rpoB RNA
RF03116	aCoV-5UTR	Cis-reg	Alphacoronavirus 5'UTR
RF03117	bCoV-5UTR	Cis-reg	Betacoronavirus 5'UTR
RF03118	gCoV-5UTR	Cis-reg	Gammacoronavirus 5'UTR
RF03119	dCoV-5UTR	Cis-reg	Deltacoronavirus 5'UTR
RF03120	Sarbecovirus-5UTR	Cis-reg	Sarbecovirus 5'UTR
RF03121	aCoV-3UTR	Cis-reg	Alphacoronavirus 3'UTR
RF03122	bCoV-3UTR	Cis-reg	Betacoronavirus 3'UTR
RF03123	gCoV-3UTR	Cis-reg	Gammacoronavirus 3'UTR
RF03124	dCoV-3UTR	Cis-reg	Deltacoronavirus 3'UTR
RF03125	Sarbecovirus-3UTR	Cis-reg	Sarbecovirus 3'UTR
RF03126	L20-Deltaproteobacteria	Cis-reg; leader	L20-Deltaproteobacteria ribosomal protein leader
RF03127	L13-Bacteroidia	Cis-reg; leader	L13-Bacteroidia ribosomal protein leader
RF03128	L31-Coriobacteria	Cis-reg; leader	L31-Coriobacteria ribosomal protein leader
RF03129	L31-Corynebacteriaceae	Cis-reg; leader	L31-Corynebacteriaceae ribosomal protein leader
RF03130	L19-Flavobacteria	Cis-reg; leader	L19-Flavobacteria ribosomal protein leader
RF03131	L25-Gammaproteobacteria	Cis-reg; leader	L25-Gammaproteobacteria ribosomal protein leader
RF03132	L17-Actino-Proteobacteria	Cis-reg; leader	L17-Actino-Proteobacteria ribosomal protein leader
RF03133	S4-Fusobacteriales	Cis-reg; leader	S4-Fusobacteriales ribosomal protein leader
RF03134	S6-S18-Chlorobi	Cis-reg; leader	S6-S18-Chlorobi ribosomal protein leader
RF03135	L4-Archaeoglobi	Cis-reg; leader	L4-Archaeoglobi ribosomal protein leades
RF03136	S10-Clostridia	Cis-reg; leader	S10-Clostridia ribosomal protein leader
RF03137	S15-Methanomicrobia	Cis-reg; leader	S15-Methanomicrobia ribosomal protein leader
RF03138	S16-Flavobacteria	Cis-reg; leader	S16-Flavobacteria ribosomal protein leader
RF03139	S4-Bacteroidia	Cis-reg; leader	S4-Bacteroidia ribosomal protein leader
RF03140	S4-Clostridia	Cis-reg; leader	S4-Clostridia ribosomal protein leader
RF03141	S4-Flavobacteria	Cis-reg; leader	S4-Flavobacteria ribosomal protein leader
RF03142	L2-Alphaproteobacteria	Cis-reg; leader	L2-Alphaproteobacteria ribosomal protein leader
RF03143	S15-Halobacteria	Cis-reg; leader	S15-Halobacteria ribosomal protein leader
RF03144	eL15-Euryarchaeota	Cis-reg; leader	eL15-Euryarchaeota ribosomal protein leader
RF03151	cyano-S1	Cis-reg; leader	Cyanobacterial ribosomal protein S1 leader
RF03155	TD-1	Cis-reg	TD-1 RNA
RF03156	L31-Firmicutes	Cis-reg; leader	L31-Firmicutes ribosomal protein leader
RF03157	L31-Gammaproteobacteria	Cis-reg; leader	L31-Gammaproteobacteria ribosomal protein leader
RF03158	L31-Actinobacteria	Cis-reg; leader	L31-Actinobacteria ribosomal protein leader
RF03161	S15-Flavobacteria	Cis-reg; leader	S15-Flavobacteria ribosomal protein leader
RF03164	NiCo-AnGGAG	Cis-reg	NiCo-AnGGAG riboswitch
RF03165	2dG-II	Cis-reg	2dG-II purine riboswitch
RF03166	glycine-GGAnGA	Cis-reg	glycine-GGAnGA riboswitch
RF03167	c-di-GMP-I-GGC	Cis-reg	c-di-GMP-I-GGC riboswitch
RF03168	c-di-GMP-I-UAU	Cis-reg	c-di-GMP-I-UAU riboswitch
RF03169	c-di-GMP-II-GAG	Cis-reg	c-di-GMP-II-GAG riboswitch
RF03170	c-di-GMP-II-GCG	Cis-reg	c-di-GMP-II-GCG riboswitch
RF03530	bglG-cis-reg	Cis-reg	cis-regulatory element of the bglG/LicT operon
RF03532	SQ2397	Cis-reg	Cis-regulator of HTH transcription factor
RF03535	TEG147	Cis-reg	Staphylococcus aureus small RNA TEG147
RF03536	Flavi_TBFV_xrRNA	Cis-reg	Tick-borne Flavivirus exoribonuclease-resistant RNA element
RF03537	Flavi_TBFV_SL6	Cis-reg	Tick-borne Flavivirus short stem-loop SL6
RF03538	Flavi_TBFV_CRE	Cis-reg	Tick-borne Flavivirus 3' UTR cis-acting replication element (CRE)
RF03539	Flavi_NKV_xrRNA	Cis-reg	No-known vector Flavivirus exoribonuclease-resistant RNA element
RF03540	Flavi_NKV_CRE	Cis-reg	No-Known-Vector Flavivirus 3' UTR cis-acting replication element (CRE)
RF03541	Flavi_ISFV_xrRNA	Cis-reg	Insect-specific Flavivirus exoribonuclease-resistant RNA element
RF03542	Flavi_ISFV_repeat_Ra_Rb	Cis-reg	Insect-Specific Flavivirus 3' UTR repeats Ra and Rb elements
RF03543	Flavi_ISFV_repeat_Rb	Cis-reg	Insect-Specific Flavivirus 3' UTR repeats Rb
RF03544	Flavi_ISFV_repeat_Ra	Cis-reg	Insect-Specific Flavivirus 3' UTR repeats Ra
RF03545	Flavi_ISFV_CRE	Cis-reg	Insect-specific Flavivirus 3' UTR cis-acting replication element (CRE)
RF03546	Flavivirus-5UTR	Cis-reg	Flavivirus 5' UTR
RF03547	Flavi_xrRNA	Cis-reg	General Flavivirus exoribonuclease-resistant RNA element
RF04189	icd-II	Cis-reg	icd-II ncRNA motif
RF04192	carA	Cis-reg	carA ncRNA motif
RF04218	HCV_5BSL1	Cis-reg	Hepatitis C virus stem-loop I
RF04219	HCV_J750	Cis-reg	J750 non-coding RNA (containing SLSL761 and SL783)
RF04220	HCV_SL588	Cis-reg	SL588 non-coding RNA
RF04221	HCV_SL669	Cis-reg	SL669 non-coding RNA
RF04222	PLRV_xrRNA	Cis-reg	Potato leafroll virus exoribonuclease-resistant RNA
